DateTime,AVG_Temp,AVG_RH,H2O,NewSnow,ToatalSnow,Ridge_Speed,Ridge_dir,Ridge_Gust,TW_Speed,TW_Dir,TW_Gust
 6'AM Fri,14,92,0.01,1,24.0,11,ESE,27,0,ESE,9
 5'AM Fri,14,92,0.0,1,23.5,10,SSE,23,2,SSE,13
 4'AM Fri,13,93,0.0,0,23.5,10,S,18,2,S,10
 3'AM Fri,13,93,0.0,0,23.5,12,SSE,21,4,SSE,16
 2'AM Fri,13,92,0.0,0,23.3,12,SSE,24,5,SSE,18
 1'AM Fri,12,91,0.0,0,22.8,15,S,23,6,S,16
12'AM Thu,12,92,0.0,0,22.7,16,S,25,7,S,22
11'PM Thu,13,92,0.01,1,23.4,13,S,23,5,S,17
10'PM Thu,14,94,0.0,1,23.3,14,SSW,23,8,SSW,21
 9'PM Thu,14,91,0.0,0,23.3,9,NE,19,0,NE,8
 8'PM Thu,15,93,0.01,0,23.2,10,NNW,20,0,NNW,5
 7'PM Thu,16,92,0.01,0,23.0,10,N,19,1,N,10
 6'PM Thu,16,92,0.0,0,22.8,8,N,17,0,N,9
 5'PM Thu,17,91,0.0,0,22.6,7,ENE,16,1,ENE,7
 4'PM Thu,18,89,0.0,0,22.3,6,ENE,16,0,ENE,9
 3'PM Thu,19,87,0.0,0,22.1,4,NW,12,0,NW,6
 2'PM Thu,19,85,0.0,0,22.2,6,N,14,0,N,6
 1'PM Thu,19,85,0.0,0,22.0,5,NNW,16,0,NNW,9
12'PM Thu,20,86,0.0,0,22.0,3,NW,11,0,NW,7
11'AM Thu,19,83,0.0,0,22.1,5,NNW,12,2,NNW,10
10'AM Thu,16,91,0.0,0,22.2,8,NW,12,5,NW,14
 9'AM Thu,16,93,0.0,0,22.3,4,WNW,10,4,WNW,11
 8'AM Thu,16,94,0.0,0,22.5,4,W,11,2,W,10
 7'AM Thu,16,95,0.0,0,22.4,4,W,10,2,W,12
 6'AM Thu,17,93,0.0,0,22.5,8,WNW,17,4,WNW,13
